Product_ID,Product_Name,Product_Description,Ingredients,Claims,Packaging_Type,Packaging_Recyclable,Contains_Chemicals,Organic_Claim,Vegan_Claim,Cruelty_Free,Biodegradable,Carbon_Footprint_Level,Country_of_Origin,Price_INR,Shelf_Life_Months,Consumer_Rating,Eco_Label_Class
F150,Green Tea Bags,Natural green tea new,Green tea leaves,Antioxidant rich,Glass,No,Yes,Yes,Yes,No,No,High,India,397,42,4.5,Eco
F053,Organic Pulses,Naturally grown pulses,Lentils,Organic farming,Glass,Yes,No,No,Yes,Yes,No,Low,India,573,21,3.9,Eco
F002,Instant Noodles,Quick cook noodles,"Refined flour, preservatives pack",Fast cooking,Paper,No,Yes,No,No,Yes,No,Medium,India,436,18,4.9,Eco
F088,Cooking Oil offer,Refined sunflower oil,Sunflower oil,Light and healthy offer,Metal,Yes,No,Yes,No,Yes,No,High,India,499,24,4.6,Not Eco
F158,Organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified pack,Paper,No,No,No,No,Yes,Yes,Low,India,247,55,4.7,Not Eco
F038,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Glass,Yes,Yes,No,No,No,No,High,India,141,39,4.6,Eco
F130,,Traditional spice blend,Natural spices offer,no preservatives,Paper,No,Yes,Yes,No,Yes,No,Medium,India,364,13,3.6,Not Eco
F192,,Traditional spice blend,Natural spices,No preservatives,Paper,Yes,No,Yes,Yes,No,No,Low,India,115,20,4.3,Eco
F188,Organic Honey offer,Pure natural honey,Honey,No additives,Metal,No,Yes,No,Yes,No,No,High,India,551,9,4.2,Eco
F021,Organic Spice Mix new,Traditional spice blend,Natural spices,No preservatives,Glass,No,Yes,No,No,No,No,Medium,India,294,1,4.7,Eco
F161,Organic Honey,Pure natural honey offer,Honey,No additives,Glass,No,Yes,No,No,Yes,Yes,High,India,330,17,3.7,Eco
F058,Packaged Bread,Soft white bread,"Refined flour, yeast",Fresh baked offer,Glass,Yes,Yes,No,Yes,Yes,Yes,Low,India,568,9,3.6,Not Eco
F022,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy offer,Plastic,Yes,Yes,Yes,Yes,No,No,Low,India,429,22,3.7,Not Eco
F089,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Glass,Yes,No,Yes,Yes,Yes,No,High,India,40,56,3.7,Eco
F049,Cold Drink,Carbonated soft drink,"Sugar, water",Refreshing,Metal,Yes,No,Yes,Yes,No,No,High,India,175,26,3.9,Eco
F059,,Refined sunflower oil,,Light and healthy,Metal,Yes,No,Yes,No,No,Yes,Medium,India,69,56,4.4,Eco
F170,Instant Noodles,Quick cook noodles,"Refined flour, preservatives",Fast cooking new,Paper,Yes,No,Yes,No,No,Yes,Medium,India,295,2,4.6,Not Eco
F188,Organic Honey,Pure natural honey,honey,No additives,Metal,No,Yes,No,Yes,No,No,High,India,551,9,4.2,Not Eco
F015,Organic Honey,Pure natural honey,Honey,No additives,Glass,Yes,Yes,No,No,No,No,Medium,India,314,17,4.9,Not Eco
F190,Green Tea Bags,,Green tea leaves,Antioxidant rich,Paper,No,Yes,Yes,No,Yes,No,Medium,India,105,17,3.6,Not Eco
F190,,Natural green tea,Green tea leaves,Antioxidant rich,Paper,No,Yes,Yes,No,Yes,No,Medium,India,105,17,3.6,Not Eco
F175,Organic Brown Rice,Whole grain organic rice,Brown rice pack,Organic certified,,No,Yes,No,Yes,No,No,Low,India,435,52,4.9,Eco
F190,Green Tea Bags,,Green tea leaves,Antioxidant rich,Paper,No,Yes,Yes,No,Yes,No,Medium,India,105,17,3.6,Not Eco
F051,chocolate Bar,Milk chocolate,,Rich taste,Plastic,No,Yes,Yes,No,No,Yes,High,India,350,24,4.8,Not Eco
F108,Organic Honey,Pure natural honey,Honey,No additives,Plastic,,Yes,Yes,Yes,Yes,Yes,Low,India,567,58,4.9,Eco
F055,Organic Honey,Pure natural honey,Honey,No additives,Paper,Yes,Yes,Yes,Yes,Yes,No,Medium,India,79,13,4.7,Eco
F064,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Glass,Yes,No,Yes,No,No,No,Low,India,430,17,4.6,Eco
F131,Chocolate Bar,Milk chocolate,"Sugar, cocoa",Rich taste,Metal,Yes,No,Yes,No,Yes,Yes,Low,India,505,35,4.7,Eco
F051,Chocolate Bar,Milk chocolate,"Sugar, cocoa",,Plastic,No,Yes,Yes,No,No,Yes,High,India,350,24,4.8,Eco
F135,Cold Drink,Carbonated soft drink,"Sugar, water",Refreshing,Plastic,No,No,No,No,No,Yes,Low,India,201,37,4.4,Not Eco
F021,Organic Spice Mix,Traditional spice blend,Natural spices,No preservatives new,Glass,No,Yes,No,No,No,No,Medium,India,294,1,4.7,Not Eco
F073,Cold Drink batch,Carbonated soft drink,"Sugar, water",Refreshing batch,Paper,Yes,Yes,No,No,No,Yes,Low,India,149,12,4.7,Eco
F167,Organic Pulses,naturally grown pulses pack,,Organic farming,Plastic,Yes,No,Yes,Yes,Yes,No,Medium,India,237,23,3.6,Not Eco
F018,Green Tea Bags,Natural green tea new,Green tea leaves,Antioxidant rich,Metal,Yes,No,Yes,No,No,No,Medium,India,124,,4.8,Not Eco
F132,Organic Spice Mix,Traditional spice blend,Natural spices pack,No preservatives,Paper,No,Yes,No,No,Yes,No,High,India,509,45,5,Eco
F089,,Refined sunflower oil,,Light and healthy,,Yes,No,Yes,Yes,Yes,No,High,India,40,56,3.7,Not Eco
F060,Chocolate Bar,Milk chocolate,"Sugar, cocoa",rich taste,Glass,Yes,No,No,No,Yes,No,Medium,India,241,48,3.6,Eco
F014,green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,,No,No,No,No,No,Yes,Low,India,595,9,4.6,Not Eco
F009,instant Noodles,Quick cook noodles,"Refined flour, preservatives",,Glass,No,No,Yes,Yes,Yes,No,Medium,India,227,57,3.9,Eco
F090,Organic Pulses,Naturally grown pulses,Lentils,Organic farming,Paper,No,Yes,No,Yes,Yes,Yes,Low,India,199,14,4.9,Not Eco
F053,Organic Pulses,Naturally grown pulses,Lentils,Organic farming,Glass,Yes,No,No,Yes,Yes,No,Low,India,573,21,3.9,Eco
F130,Organic Spice Mix,Traditional spice blend,Natural spices pack,no preservatives offer,Paper,No,Yes,Yes,No,Yes,No,Medium,India,,13,3.6,Not Eco
F084,packaged Bread,Soft white bread,"Refined flour, yeast",fresh baked,Metal,No,No,No,No,No,No,High,India,106,4,4.7,Eco
F092,Cold Drink,Carbonated soft drink,"Sugar, water",Refreshing,Paper,No,Yes,Yes,Yes,No,No,Medium,India,200,54,3.6,Eco
F111,Organic Honey,Pure natural honey,Honey,No additives,Glass,No,Yes,No,Yes,Yes,Yes,High,India,317,2,4.2,Not Eco
F188,Organic Honey,Pure natural honey,Honey,No additives,Metal,No,Yes,No,Yes,No,No,High,India,551,9,4.2,Not Eco
F199,Organic Pulses,Naturally grown pulses pack,Lentils,Organic farming,Paper,Yes,No,No,Yes,No,No,Medium,India,550,21,4.9,Not Eco
F172,Organic Honey,Pure natural honey,Honey,No additives,Paper,No,No,No,Yes,Yes,No,High,India,543,44,4.1,Not Eco
F008,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Metal,No,No,Yes,No,Yes,No,High,India,427,57,4.3,Eco
F175,Organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified,Paper,No,Yes,No,Yes,No,No,Low,India,435,,4.9,Eco
F035,Instant Noodles,Quick cook noodles,"Refined flour, preservatives",Fast cooking,Metal,Yes,No,Yes,Yes,No,No,Low,India,,34,5,Not Eco
F081,Green Tea Bags,Natural green tea,Green tea leaves offer,Antioxidant rich,,No,Yes,Yes,Yes,Yes,Yes,Medium,India,163,6,4.2,Not Eco
F164,Organic Honey,Pure natural honey,Honey,No additives,Metal,No,Yes,No,No,No,Yes,Low,India,199,10,4.1,Not Eco
F050,Organic Honey,Pure natural honey,Honey,No additives,Glass,Yes,No,Yes,Yes,No,Yes,High,India,475,46,3.8,Not Eco
F104,Packaged Bread,Soft white bread,"Refined flour, yeast",Fresh baked,Metal,Yes,Yes,Yes,Yes,Yes,No,High,India,186,27,4.6,Not Eco
F132,Organic Spice Mix,Traditional spice blend,Natural spices,No preservatives,Paper,No,Yes,No,No,Yes,No,High,India,509,45,5,Eco
F002,Instant Noodles,Quick cook noodles,"Refined flour, preservatives",Fast cooking,Paper,No,Yes,No,No,Yes,No,Medium,India,436,18,4.9,Eco
F134,Instant Noodles,Quick cook noodles,"Refined flour, preservatives",Fast cooking,Paper,Yes,Yes,Yes,Yes,Yes,No,Low,India,415,24,4.4,Eco
F054,Organic Spice Mix,Traditional spice blend,Natural spices pack,No preservatives,Paper,No,No,No,No,Yes,Yes,Low,India,530,34,4.7,Eco
F106,organic Spice Mix,Traditional spice blend,Natural spices,No preservatives,Metal,No,No,Yes,Yes,No,No,High,India,164,32,4.4,Not Eco
F004,Chocolate Bar,Milk chocolate offer,"Sugar, cocoa",Rich taste,Glass,Yes,Yes,No,No,No,No,High,India,269,57,4.5,Not Eco
F054,Organic Spice Mix offer,Traditional spice blend,Natural spices,No preservatives,Paper,No,No,No,No,Yes,Yes,Low,India,530,34,4.7,Eco
F191,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Paper,Yes,No,Yes,No,No,Yes,Low,India,525,49,4.4,Eco
F146,Packaged Bread,Soft white bread,"Refined flour, yeast",Fresh baked batch,,No,No,Yes,No,Yes,Yes,High,India,414,3,4.1,Not Eco
F044,Organic Pulses,,Lentils,Organic farming,Paper,Yes,No,Yes,No,No,No,High,India,63,47,3.7,Not Eco
F162,Organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified,Metal,Yes,No,Yes,No,Yes,No,Low,India,561,12,5,Eco
F190,Green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,Paper,No,Yes,Yes,No,Yes,No,Medium,India,105,17,3.6,Not Eco
F014,Green Tea Bags,Natural green tea,,Antioxidant rich,Paper,No,No,No,No,No,Yes,Low,India,595,9,4.6,Not Eco
F095,Cold Drink,Carbonated soft drink,"Sugar, water",Refreshing batch,Metal,Yes,No,No,Yes,Yes,Yes,Medium,India,147,44,4.7,Not Eco
F048,Packaged Bread,,"Refined flour, yeast",Fresh baked,Metal,Yes,No,No,Yes,Yes,No,Medium,India,345,51,,Eco
F015,Organic Honey,Pure natural honey,Honey,No additives,Glass,Yes,Yes,No,No,No,No,Medium,India,314,17,4.9,Not Eco
F200,organic Spice Mix,Traditional spice blend pack,Natural spices,No preservatives,Paper,No,Yes,Yes,No,No,No,Medium,India,,48,4.6,Not Eco
F190,Green Tea Bags,Natural green tea,Green tea leaves batch,Antioxidant rich,Paper,No,Yes,Yes,No,Yes,No,Medium,India,105,17,3.6,Not Eco
F040,,Refined sunflower oil,Sunflower oil,Light and healthy,,No,No,No,Yes,Yes,No,Medium,India,457,30,4.6,Eco
F082,Packaged Bread,Soft white bread pack,"Refined flour, yeast",Fresh baked,Metal,,Yes,Yes,No,Yes,No,High,India,398,48,4.1,Not Eco
F111,Organic Honey pack,Pure natural honey,Honey,no additives,Glass,No,Yes,No,Yes,Yes,Yes,High,India,317,2,4.2,Not Eco
F053,Organic Pulses offer,Naturally grown pulses,Lentils,Organic farming,Glass,Yes,No,No,Yes,Yes,No,Low,India,573,21,3.9,Eco
F024,Organic Spice Mix pack,Traditional spice blend,Natural spices,No preservatives,Glass,Yes,No,Yes,Yes,No,Yes,High,India,98,46,3.6,Not Eco
F154,Packaged Bread,Soft white bread,"Refined flour, yeast batch",Fresh baked,Metal,Yes,No,No,Yes,No,Yes,Low,India,275,14,4.5,Eco
F188,,,,No additives,,No,Yes,No,Yes,No,No,High,India,551,9,4.2,Not Eco
F124,Instant Noodles,Quick cook noodles,"Refined flour, preservatives",,Plastic,No,Yes,No,Yes,Yes,Yes,Low,India,181,49,4.2,Eco
F041,,Milk chocolate,"Sugar, cocoa",Rich taste,Metal,Yes,Yes,No,No,No,Yes,High,India,212,10,3.9,Eco
F157,Cold Drink,Carbonated soft drink,,Refreshing pack,Paper,Yes,No,Yes,No,Yes,Yes,High,India,299,43,4.4,Not Eco
F015,Organic Honey,Pure natural honey,Honey,,,Yes,Yes,No,No,No,No,Medium,India,314,17,4.9,Not Eco
F045,Instant Noodles,Quick cook noodles batch,"Refined flour, preservatives",,Plastic,No,Yes,No,Yes,Yes,Yes,High,India,554,45,3.6,Not Eco
F065,Chocolate Bar,milk chocolate,"Sugar, cocoa",rich taste,Paper,No,Yes,No,Yes,No,Yes,High,India,,33,4.2,Eco
F089,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Glass,Yes,No,Yes,Yes,Yes,No,High,India,40,56,3.7,Eco
F071,Organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified,Paper,Yes,Yes,No,No,No,Yes,Low,India,354,54,4.3,Eco
F009,Instant Noodles,Quick cook noodles,"Refined flour, preservatives batch",Fast cooking,Glass,,No,Yes,Yes,Yes,No,Medium,India,227,57,3.9,Eco
F088,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Metal,Yes,No,Yes,No,Yes,No,High,India,499,24,4.6,Not Eco
F129,Green Tea Bags,natural green tea,Green tea leaves,antioxidant rich,,Yes,Yes,No,No,No,No,Medium,India,568,25,3.6,Not Eco
F136,instant Noodles batch,Quick cook noodles,"Refined flour, preservatives",Fast cooking,Plastic,Yes,No,Yes,No,Yes,No,Medium,India,46,12,4.1,Not Eco
F063,Chocolate Bar pack,Milk chocolate,"Sugar, cocoa",Rich taste,,Yes,Yes,Yes,No,Yes,No,Medium,India,42,15,5,Eco
F139,Organic Pulses,Naturally grown pulses,Lentils,Organic farming,Metal,No,Yes,No,No,No,No,Low,India,526,10,4.7,Not Eco
F081,Green Tea Bags pack,Natural green tea,Green tea leaves,Antioxidant rich,Plastic,No,Yes,Yes,Yes,Yes,Yes,Medium,India,163,6,4.2,Not Eco
F136,Instant Noodles new,Quick cook noodles,"refined flour, preservatives",,Plastic,Yes,No,Yes,No,Yes,No,Medium,India,46,12,4.1,Not Eco
F163,Organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified,Metal,Yes,No,Yes,Yes,Yes,Yes,Medium,India,59,58,4.6,Not Eco
F163,,Whole grain organic rice,Brown rice,organic certified,Metal,Yes,No,Yes,Yes,Yes,Yes,Medium,India,59,58,4.6,Not Eco
F033,Cold Drink,Carbonated soft drink,"Sugar, water",Refreshing,Glass,No,No,No,Yes,Yes,Yes,Low,India,80,42,3.5,Not Eco
F123,Cooking Oil,,Sunflower oil,Light and healthy,Glass,No,Yes,Yes,Yes,Yes,No,Low,India,134,30,4.6,Eco
F005,Organic Spice Mix,Traditional spice blend,Natural spices,No preservatives,Paper,Yes,No,No,No,No,Yes,Low,India,275,43,3.7,Not Eco
F041,Chocolate Bar,Milk chocolate,"Sugar, cocoa",Rich taste,Metal,Yes,Yes,No,No,No,Yes,High,India,212,10,3.9,Eco
F028,Packaged Bread,Soft white bread new,"Refined flour, yeast",Fresh baked,Metal,,Yes,No,Yes,No,No,Low,India,334,54,4.5,Not Eco
F135,,carbonated soft drink,"Sugar, water",Refreshing batch,Plastic,No,No,No,No,No,Yes,Low,India,201,,4.4,Eco
F072,Instant Noodles,Quick cook noodles,"Refined flour, preservatives pack",,Glass,No,Yes,Yes,No,Yes,Yes,Low,India,373,9,4.8,Not Eco
F012,Organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified,Glass,No,No,No,No,Yes,No,High,India,448,19,3.9,Not Eco
F162,Organic Brown Rice,whole grain organic rice,brown rice,Organic certified,Metal,Yes,No,Yes,No,Yes,No,Low,India,561,12,5,Not Eco
F033,Cold Drink,Carbonated soft drink,,Refreshing pack,Glass,No,No,No,Yes,Yes,Yes,Low,India,80,42,3.5,Not Eco
F048,Packaged Bread,Soft white bread,"Refined flour, yeast",Fresh baked,Metal,,No,No,Yes,Yes,No,Medium,India,345,51,4.5,Eco
F151,Instant Noodles,Quick cook noodles,"Refined flour, preservatives",Fast cooking,Paper,No,Yes,No,Yes,No,No,Medium,India,343,5,,Not Eco
F062,Organic Pulses,,Lentils batch,Organic farming,,Yes,No,No,Yes,No,No,High,India,309,38,4.5,Eco
F037,Green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich offer,Metal,No,Yes,No,No,Yes,Yes,Medium,India,453,50,3.7,Not Eco
F099,Packaged Bread,Soft white bread,"Refined flour, yeast",,Glass,Yes,Yes,No,No,Yes,No,High,India,35,52,5,Eco
F172,organic Honey,Pure natural honey,Honey,No additives,,No,No,No,Yes,Yes,No,High,India,543,44,4.1,Not Eco
F104,Packaged Bread,Soft white bread,"Refined flour, yeast",Fresh baked,Metal,,Yes,Yes,Yes,Yes,No,High,India,186,27,4.6,Not Eco
F035,Instant Noodles pack,Quick cook noodles,"Refined flour, preservatives",Fast cooking offer,Metal,Yes,No,Yes,Yes,No,No,Low,India,332,34,5,Not Eco
F193,green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,Plastic,Yes,No,No,No,Yes,Yes,Medium,India,186,38,4.7,Not Eco
F101,Instant Noodles,Quick cook noodles,"Refined flour, preservatives",Fast cooking,Paper,Yes,Yes,Yes,No,Yes,No,Low,India,95,2,4,Eco
F175,Organic Brown Rice,,Brown rice,Organic certified,Paper,No,Yes,No,Yes,No,No,Low,India,,52,4.9,Eco
F131,Chocolate Bar,Milk chocolate new,"Sugar, cocoa",Rich taste,Metal,Yes,No,Yes,No,Yes,Yes,Low,India,505,35,4.7,Not Eco
F001,cold Drink,Carbonated soft drink,"Sugar, water",,Plastic,No,Yes,No,Yes,Yes,No,Low,India,186,33,4.5,Not Eco
F005,Organic Spice Mix,Traditional spice blend offer,Natural spices,,Paper,Yes,No,No,No,No,Yes,Low,India,275,43,3.7,Eco
F142,Chocolate Bar batch,Milk chocolate,"Sugar, cocoa",Rich taste,Plastic,No,Yes,Yes,Yes,Yes,No,Low,India,509,29,3.7,Not Eco
F103,Cold Drink pack,Carbonated soft drink,"Sugar, water",,Metal,No,Yes,No,No,Yes,Yes,Low,India,180,11,5,Eco
F027,Organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified,Paper,No,No,Yes,No,No,Yes,High,India,483,,4.4,Not Eco
F137,Green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,Glass,Yes,Yes,No,Yes,Yes,Yes,Low,India,196,24,4.1,Not Eco
F015,Organic Honey,Pure natural honey new,Honey,No additives,Glass,Yes,Yes,No,No,No,No,Medium,India,314,17,4.9,Not Eco
F090,Organic Pulses offer,naturally grown pulses,Lentils,Organic farming,Paper,No,Yes,No,Yes,Yes,Yes,Low,India,199,14,4.9,Not Eco
F042,organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified,Metal,Yes,Yes,No,Yes,No,Yes,Medium,India,130,42,3.7,Eco
F124,Instant Noodles,Quick cook noodles,"refined flour, preservatives",Fast cooking,Plastic,No,Yes,No,Yes,Yes,Yes,Low,India,181,49,4.2,Eco
F179,Organic Pulses pack,Naturally grown pulses,Lentils,Organic farming,Paper,Yes,No,Yes,Yes,No,Yes,Low,India,519,3,3.6,Not Eco
F063,Chocolate Bar offer,,"Sugar, cocoa",rich taste,Plastic,Yes,Yes,Yes,No,Yes,No,Medium,India,42,15,5,Not Eco
F096,Green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,Glass,Yes,No,Yes,No,Yes,Yes,Low,India,128,23,4,Not Eco
F052,Organic Honey,Pure natural honey,Honey,No additives,Metal,,Yes,No,Yes,No,Yes,Medium,India,117,34,4,Eco
F096,Green Tea Bags pack,natural green tea,Green tea leaves,Antioxidant rich,Glass,Yes,No,Yes,No,Yes,Yes,Low,India,128,,4,Not Eco
F132,Organic Spice Mix,Traditional spice blend,Natural spices,No preservatives,Paper,No,Yes,No,No,Yes,No,High,India,509,45,5,Eco
F151,Instant Noodles,Quick cook noodles batch,"Refined flour, preservatives",Fast cooking batch,,No,Yes,No,Yes,No,No,Medium,India,343,5,4.2,Not Eco
F143,Organic Brown Rice,Whole grain organic rice,Brown rice,organic certified,Paper,,Yes,Yes,No,Yes,Yes,High,India,156,30,3.9,Eco
F171,Cooking Oil,Refined sunflower oil,Sunflower oil,Light and healthy,Paper,No,Yes,Yes,No,No,No,High,India,416,12,4.8,Not Eco
F029,Cooking Oil,Refined sunflower oil,Sunflower oil new,light and healthy,Paper,No,Yes,No,No,No,No,High,India,572,35,3.9,Not Eco
F036,Organic Honey,Pure natural honey,Honey,No additives,Glass,,Yes,Yes,Yes,No,Yes,Low,India,268,23,4.9,Not Eco
F013,Organic Spice Mix,Traditional spice blend,Natural spices,No preservatives new,Paper,No,No,No,Yes,Yes,No,Medium,India,424,1,4.5,Eco
F160,,Naturally grown pulses,Lentils,Organic farming,Paper,No,No,No,No,No,No,Low,India,386,28,4.6,Not Eco
F071,Organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified,Paper,Yes,Yes,No,No,No,Yes,Low,India,354,54,4.3,Eco
F187,Organic Honey,Pure natural honey,Honey offer,No additives,Glass,Yes,No,Yes,Yes,No,No,Low,India,304,7,4.5,Eco
F086,Organic Spice Mix,Traditional spice blend,Natural spices,No preservatives,Metal,,No,No,Yes,No,No,Low,India,72,14,4.3,Eco
F028,Packaged Bread,Soft white bread,"Refined flour, yeast",Fresh baked,Metal,Yes,Yes,No,Yes,No,No,Low,India,334,54,4.5,Not Eco
F066,Organic Brown Rice,Whole grain organic rice,brown rice,Organic certified new,,Yes,No,No,No,No,Yes,Low,India,159,40,4,Eco
F170,Instant Noodles,Quick cook noodles,"Refined flour, preservatives",Fast cooking,Paper,Yes,No,Yes,No,No,Yes,Medium,India,295,2,4.6,Not Eco
F045,Instant Noodles,Quick cook noodles new,"Refined flour, preservatives",Fast cooking,Plastic,No,Yes,No,Yes,Yes,Yes,High,India,554,45,3.6,Eco
F062,Organic Pulses pack,Naturally grown pulses pack,Lentils,Organic farming,Glass,Yes,No,No,Yes,No,No,High,India,309,38,4.5,Eco
F185,Chocolate Bar,Milk chocolate,"Sugar, cocoa",Rich taste,Glass,No,No,No,No,No,Yes,Medium,India,326,,4.4,Eco
F134,Instant Noodles,Quick cook noodles pack,"Refined flour, preservatives",Fast cooking,Paper,Yes,Yes,Yes,Yes,Yes,No,Low,India,415,24,4.4,Not Eco
F028,Packaged Bread,Soft white bread,"Refined flour, yeast new",Fresh baked,Metal,Yes,Yes,No,Yes,No,No,Low,India,334,54,4.5,Not Eco
F028,Packaged Bread,Soft white bread,"Refined flour, yeast",Fresh baked,Metal,Yes,Yes,No,Yes,No,No,Low,India,334,54,4.5,Not Eco
F108,Organic Honey,Pure natural honey,Honey,No additives,Plastic,No,Yes,Yes,Yes,Yes,Yes,Low,India,567,58,4.9,Eco
F044,Organic Pulses,Naturally grown pulses,Lentils,Organic farming,Paper,Yes,No,Yes,No,No,No,High,India,63,47,3.7,Not Eco
F084,Packaged Bread,Soft white bread,"Refined flour, yeast",Fresh baked,Metal,No,No,No,No,No,No,High,India,106,4,4.7,Eco
F030,Cold Drink batch,Carbonated soft drink,"Sugar, water offer",Refreshing,Metal,,Yes,No,No,Yes,No,Medium,India,288,38,4.4,Not Eco
F190,Green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,Paper,No,Yes,Yes,No,Yes,No,Medium,India,105,17,3.6,Not Eco
F075,Packaged Bread,Soft white bread,"Refined flour, yeast",Fresh baked offer,Metal,No,Yes,Yes,No,No,No,Medium,India,129,33,3.8,Eco
F128,Green Tea Bags,natural green tea,Green tea leaves,Antioxidant rich,Paper,No,Yes,No,No,Yes,No,High,India,113,47,4.9,Not Eco
F092,Cold Drink,Carbonated soft drink batch,"Sugar, water",Refreshing,Paper,No,Yes,Yes,Yes,No,No,Medium,India,200,54,3.6,Eco
F190,Green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,Paper,No,Yes,Yes,No,Yes,No,Medium,India,105,17,3.6,Not Eco
F129,Green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,Plastic,Yes,Yes,No,No,No,No,Medium,India,568,25,3.6,Not Eco
F121,Organic Spice Mix,Traditional spice blend,Natural spices,,,No,Yes,Yes,No,No,No,Low,India,205,2,4.2,Not Eco
F027,Organic Brown Rice,Whole grain organic rice,Brown rice,Organic certified,Paper,No,No,Yes,No,No,Yes,High,India,483,3,4.4,Eco
F190,Green Tea Bags,Natural green tea,Green tea leaves,Antioxidant rich,Paper,,Yes,Yes,No,Yes,No,Medium,India,105,17,3.6,Eco
F121,,Traditional spice blend,Natural spices,No preservatives offer,Plastic,No,Yes,Yes,No,No,No,Low,India,205,2,4.2,Not Eco
F116,,naturally grown pulses,Lentils,organic farming,Paper,Yes,No,No,No,Yes,No,Low,India,278,10,4,Not Eco
F003,,Carbonated soft drink,"Sugar, water offer",Refreshing,Paper,No,Yes,No,Yes,No,No,Medium,India,395,26,4.1,Not Eco
